white,white_elo,black,black_elo,result,date,moves
ognjen,1515,PILOTVE,1550,0-1,????.??.??,b3 Nc6 d3 Nf6 Bb2 d5 Nd2 e5 e4 d4 Qe2 Bb4 O-O-O Qe7 g3 Be6 f4 Ba3 fxe5 Bxb2+ Kxb2 Nxe5 Nc4 a5 Nxe5 Bxb3 axb3 Qxe5 Nf3 Qc5 Qd2 a4 Ra1 O-O e5 Nd5 Bg2 axb3 Rxa8 Rxa8 Nxd4 Qxd4+ c3 Qa4 Rb1 Qa2+ Kc1 Qa3+ Rb2 Qa1+ Rb1 Qa3+ Kd1 Nb6 Bxb7 Re8 d4 Qa7 Bc6 Nc4 Qd3 Na3 Ra1 b2 Rxa3 Qxa3 Bxe8 Qa1+ Ke2 b1=Q Qxb1 Qxb1 Ke3 Qc2
Furija,1341,Vana-Tallinn,1541,0-1,????.??.??,e4 c5 Bc4 e6 Qf3 a6 c3 b5 Bb3 c4 Bc2 Nc6 b3 Ne5 Qe2 Bb7 Na3 Nd3+ Bxd3 cxd3 Qxd3 Nf6 f3 Be7 Ne2 d5 e5 Nd7 f4 O-O O-O f6 Bb2 fxe5 fxe5 Nxe5 Qe3 Bf6 d4 Ng4 Qxe6+ Kh8 Qxg4 Qd6 Rf3 Rae8 Nf4 Bc8 Qg3 Re4 Ng6+ hxg6 Qxd6 Bg4 Rf2 Rd8 Qxa6 Rde8 Raf1 Be2 Re1 Bh4 g3 Bg5 Qxg6 Be3 Nxb5 Bxf2+ Kxf2 Rf8+ Kg2 Bf3+ Kh3 Rxe1 Qg5 Rg1 Qh5+ Bxh5
sevendaysofrain,1387,protea,1416,0-1,????.??.??,e4 e6 d4 h6 f4 Nf6 Nc3 d5 e5 Ne4 Nxe4 dxe4 Qe2 f5 g4 g6 gxf5 gxf5 Qd2 a6 Ne2 b5 b3 a5 Bb2 Bb4 Bc3 Ba3 Bxa5 Nc6 b4 Qh4+ Kd1 Nxa5 bxa5 b4 d5 Ba6 dxe6 Rd8
Jocotepec,1756,matanm369,1711,1-0,????.??.??,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 g6 Be3 Bg7 Nc3 d6 Bc4 Nf6 f3 O-O Qd3 Ne5 Qe2 Nxc4 Qxc4 a6 O-O-O Nd7 h4 Nc5 h5 b5 Qe2 Qa5 Kb1 Bxd4 Bxd4 Be6 Qe3 b4 Nd5 Bxd5 exd5 Qc7 Qh6 e5 Bxc5 dxc5 d6 Qd7 Qg5 f6 Qe3 Rac8 hxg6 hxg6 Qh6 Qg7 Qe3 Rfd8 a3 a5 a4 c4 Qb6 b3 cxb3 cxb3 Qxb3+ Kf8 Qe6 Rb8 d7 f5 Qd6+ Kg8 Rd2 e4 fxe4 fxe4 g4 e3 Rdh2 Rxd7 Qe6+ Rf7 Rh8+ Qxh8 Rxh8+ Kg7 Rh7+ Kxh7 Qxf7+ Kh6 Qf4+ Kg7 Qxb8
davinox,1291,ru63n,1250,1-0,????.??.??,e4 e5 Nf3 d6 d4 Qe7 Nc3 Nf6 Bd3 b6 O-O Bb7 Re1 Nbd7 d5 O-O-O Bg5 g6 b4 a6 a4 Bg7 b5 Nc5 bxa6 Bxa6 Bxa6+ Nxa6 Nb5 Qd7 c4 Nc5 Qb1 Ncxe4 a5 Kb7 a6+ Ka8 Bxf6 Bxf6 Rxe4 Qf5 a7 g5 Nxc7+ Kb7 Nb5 g4 Nd2 Bg5 Nf1 Rc8 Re2 Bf6
martinz,1616,freddyraul5757,1464,1-0,????.??.??,e4 e6 Nf3 c5 Nc3 Nc6 Bc4 a6 d4 b5 Be2 cxd4 Nxd4 Bc5 Be3 b4 Nxc6 dxc6 Bxc5 bxc3 Qxd8+ Kxd8 bxc3 Nf6 O-O Nxe4 Bf3 Nxc3 Bxc6 Rb8 Bd4 Nd5 c4 Nb4 Bxg7 Rg8 Bf6+ Kc7 Be4 Nc6 Rfd1 Bb7 c5 Nb4 Be5+ Kc8 Bxb7+ Rxb7 Rab1 a5 a3 Nd5 Rxb7 Kxb7 Bd6 Nc3 Rd2 Ne4 Rb2+ Kc6 Rb6+ Kd5 Be7 Nxc5 Rb5 Rc8 Rxa5 Kc4 Ra7 Nb3 Bb4 Kd3 h3 Rc1+ Kh2
pavanpakar,1197,demon129,1390,0-1,????.??.??,e4 e5 Nf3 Nc6 Bb5 Bc5 O-O d6 b3 Nf6 Qe2 O-O Bb2 Bg4 h3 Bxf3 Qxf3 Nd4 Qd3 a6 Bc4 Nh5 g4 Nf4 Qc3 Qh4 Kh2 b5 b4 bxc4 bxc5 Rab8 cxd6 cxd6 Qxc4 Qxh3+ Kg1 Nde2+ Qxe2 Nxe2#
sel-cris,1563,Molder,1586,1-0,????.??.??,e4 e5 Nf3 d6 h3 Nf6 Nc3 a6 Bc4 b5 Bd5 c6 Bb3 b4 Na4 Nxe4 d3 Nf6 O-O Be7 d4 e4 Ng5 O-O Re1 d5 c4 h6 Nxf7 Rxf7 cxd5 cxd5 Nc5 Bxc5 dxc5 Nc6 Be3 Kh8 Bd4 Nxd4 Qxd4 Bb7 Qxb4 Bc6 Rad1 a5 Qc3 a4 Bc2 Qa5 Qd4 a3 b4 Qc7 Bb3 Rd7 Qe3 Ba4 Bxa4 Rxa4 Qc3 Ra8 f3 exf3 Qxf3 Ra4 Qb3 Ra8 Re6 Re7 Rxe7 Qxe7 c6 Ra7 b5 Rc7 Rd3 Qc5+ Kh2 Qd6+ g3 Re7 Qxa3 Re2+ Kh1 Ne4 Qxd6 Nxd6 Rxd5 Ne4 g4 Rxa2 c7 Rc2 b6 Ng3+ Kg1 Ne2+ Kf1 Nf4 Rd8+ Kh7 b7 Rxc7 b8=Q Rc1+ Kf2 Nxh3+ Ke3 Re1+ Kd2 Re7 Qb1+
hugo50000,1692,jt-finn,1738,0-1,????.??.??,d4 e6 Nf3 d6 Bg5 Be7 Bxe7 Qxe7 e3 b6 Bd3 Bb7 O-O Nd7 Re1 h6 c4 g5 d5 e5 e4 g4 Nfd2 h5 Nf1 Qg5 Nbd2 h4 g3 hxg3 fxg3 Ngf6 Qe2 O-O-O Qe3 Qh5 Re2 Nc5 Bc2 Kb8 Rf2 Qg6 b4 Ncd7 a4 Nh5 Rf5 Bc8 Rg5 Qh7 c5 bxc5 bxc5 Nxc5 Rb1+ Ka8 Nc4 f6 Rxh5 Qxh5 Na5 Bd7 Nc6 Bxc6 dxc6 Rb8 Rb5 Qf7 Qd2 Qa2
bmaas,1449,lens260,1530,1-0,????.??.??,e4 e5 Nf3 Nf6 Bc4 Bc5 Bxf7+ Kxf7 Nxe5+ Kf8 O-O d6 d4 dxe5 dxe5 Ng8 Qxd8+
Senikot05,1573,marcelosx,1580,1-0,????.??.??,e4 d6 d4 Nf6 Nc3 g6 h3 Bg7 Be3 Nc6 Qd2 e5 d5 Ne7 O-O-O O-O Bh6 Bxh6 Qxh6 Nh5 g3 Ng7 g4 c6 Nf3 cxd5 Ng5 Re8 Qxh7+ Kf8 Qh8+ Ng8 Nh7+ Ke7 Nxd5+ Ke6 Qxg7 b6 h4 Bb7 Ng5+ Kd7 Qxf7+ Ne7 Bb5+ Bc6 Qe6#
capabla66,1469,Pantelis86,1484,1-0,????.??.??,e4 c6 Nf3 f6 d4 g6 Bc4 d5 exd5 cxd5 Bb3 Bg4 h3 Bf5 g4 Be6 Nc3 Nc6 Ba4 Bf7 Bf4 g5 Bg3 h5 gxh5 Bxh5 Qd3 Bg4 Ng1 a6 Qg6+ Kd7 Nxd5 Qa5+ Nc3 b5 Bb3 Nxd4 Qd3 e5 Bxg8 Rxg8 hxg4 b4 Ne4 b3+ Nc3 bxc2 Rc1 Bb4 Rxc2 Bxc3+ Rxc3 Qxa2 Qh7+ Kd6 Qc7+ Ke6 Qb6+ Kf7 Rh7+ Kg6 Rh1 Qb1+ Kd2 Qxb2+ Qxb2
Simbad,1404,Kushtrimh,2113,0-1,????.??.??,e4 c5 Bc4 e6 d4 cxd4 Qxd4 a6 a4 Qc7 Qd3 d6 Nf3 Nd7 Qc3 Ngf6 Bg5 Nxe4 Qe3 Qxc4 b3 Qxc2 O-O Nxg5 Nxg5 Nf6 Re1 Be7 Na3 Qg6 Nh3 O-O Nc4 Bd7 Rac1 Bc6 Nf4 Qf5 h3 h6 g4 Qe4 Qxe4 Bxe4 Nd2 Bc6 Nc4 Nd5 Nxd5 Bxd5 Ne3 Bxb3 Rc7 Bf6 Rxb7 Bxa4 Nc4 Rab8 Ra7 Bb5 Nxd6 Bd4 Rd1 Bxa7 Nxb5 Rxb5 Rd7 Bc5 Kg2 Rb2 Kg3 Bxf2+ Kf4 g5+ Ke5 Re2+ Kf6 a5 h4 gxh4 g5 hxg5
mosqan,1253,ibnedirksk,1072,1-0,????.??.??,d4 d6 c4 e5 dxe5 dxe5 Qxd8+ Kxd8 Nc3 Nc6 Nf3 Nb4 Kd1 Bf5 a3 Bc2+ Kd2
zekinha16,1813,tabelatabela,1808,1/2-1/2,????.??.??,d4 d5 c4 dxc4 e3 g6 Nf3 Bg7 Nc3 Nf6 Bxc4 O-O O-O a6 a3 b5 Ba2 Bb7 Re1 Nbd7 e4 c5 e5 Ng4 h3 Nh6 d5 e6 dxe6 Bxf3 Qxd7 Qxd7 exd7 Bc6 e6 fxe6 Bxe6+ Kh8 Bxh6 Bxh6 Rad1 Bg5 Ne4 Be7 Nd6 Rf4 Nf7+ Kg7 d8=Q Bxd8 Nxd8 Be4 Bg4 Bc2 Ne6+ Kh8 Nxf4 Bxd1 Rxd1 c4 Rd6 Kg7 Bf3 Re8 Rxa6 Re1+ Kh2 Rb1 Ra7+ Kh6 Bd5 Rxb2 f3 c3 Bg8 Rc2 Rxh7+ Kg5 Ne6+ Kf6 Nd4 Rd2 Rf7+ Kg5 Nxb5 c2 Rc7 Kf4 a4 Ke3 a5 Ke2 a6 Kd1 a7 Rd8 Bb3 Ra8 Bxc2+ Ke1 Bxg6 Kf2 Be4 Rd8 a8=Q Rd2 Rc2 Ke1 Rxd2 Kxd2 Qd5+ Ke3 Qd3+ Kf4 Qd2+ Ke5 Qe3 Kf6 Qd4+ Kg5 h4+ Kh5 Bf5 Kh6 Qg4
denko,1712,sausky77,1572,1-0,????.??.??,d4 d5 Nc3 e6 f3 Bb4 Bd2 Bxc3 Bxc3 f5 e3 g5 Bd3 Qf6 Ne2 h5 Qd2 g4 fxg4 hxg4 Rf1 Qh4+ g3 Qxh2 O-O-O Qh7 Bb4 Nc6 Ba3 Bd7 c4 Nce7 cxd5 Nxd5 Nc3 Nxc3 Qxc3 O-O-O Bd6 c6 Qa5 Be8 Qxa7 Rxd6 Qa8+ Kc7 Kb1 Qd7 Rc1 Qc8 Qa5+ Kd7 Rxf5 Rd5 Rxd5+ cxd5 Rxc8 Kxc8 Qc5+ Bc6 Qf8+ Kc7 Qg7+ Kb6 Qxh8 Ne7 Qf6 Nc8 Qxe6 Na7 Qxg4
keinohrhasen,1468,Umpalump,1353,1-0,????.??.??,e4 e5 Nf3 Nc6 Nc3 Nf6 Bc4 Bc5 h3 h6 a3 O-O d3 d6 Nd5 Be6 b4 Bd4 Rb1 a6 O-O Nxd5 exd5 Bxd5 Bxd5 Qf6 Be3 Ne7 Bxb7 Ra7 Bxd4 Rxb7 Bc3 Nd5 Bb2 Rb6 Qe2 Re8 Qd2 Rc6 Rfe1 Qf4 Qd1 Nc3 Bxc3 Rxc3 Re4 Qf6 Qd2 Rxa3 Qe3 Ra5 Qa7 Rd5 Qxc7 Qe7 Qb6 Qf6 Qxa6 h5 b5 g6 b6 g5 Qa7 g4 b7
Nikvol,1837,SearcherE8,1777,1-0,????.??.??,d4 d5 c4 e6 Nf3 Nf6 Nc3 Be7 e3 b6 a3 a5 Bd3 O-O O-O Ba6 Qe2 dxc4 Bxc4 Bxc4 Qxc4 Nbd7 e4 c5 d5 exd5 Nxd5 Nxd5 Qxd5 Nf6 Qxd8 Rfxd8 e5 Ne4 Be3 Rd3 Rfd1 Rad8 Rxd3 Rxd3 Kf1 Kf8 Ke2 Rd7 Rd1 Rxd1 Kxd1 Ke8 Kc2 Kd7 b4 Kc6 bxa5 bxa5 Kb3 Kb5 a4+ Kc6 Kc4 h6 Ne1 Ng5 Nd3 Ne6 f4 g6 g4 Nc7 Bxc5 Bxc5 Nxc5 Nd5 Nb3 Nxf4 Nxa5+ Kb6 Nb3 g5 Nd4 Ng6 Kd5 Ka5 Nf5 h5 gxh5 Nf4+ Kd6 Nxh5 Ke7 Nf4 Kxf7 g4 e6 Nd5 e7 Nxe7
Senya9779,1684,cybermax,1698,1-0,????.??.??,d4 g6 Bf4 d5 e3 Nf6 c4 e6 Nc3 Bg7 Qb3 c6 Bg5 h6 Bh4 g5 Bg3 Qb6 c5 Qxb3 axb3 a6 b4 Nbd7 Nf3 Nh5 Be2 Nxg3 hxg3 f6 Kd2 Nf8 b5 Ng6 bxc6 bxc6 Na4 Bd7 Nb6 Ra7 Rxa6 Rxa6 Bxa6 Ke7 Nxd7 Kxd7 Bd3 f5 Ra1 Rc8 b4 Ne7 b5 cxb5 Bxb5+ Nc6 Ra7+ Kd8 Rxg7 Nb4 Rg8+ Kc7 Rxc8+ Kxc8 Ne5 h5 Nf7 g4 Nd6+ Kc7 Nf7 Nc6 Bxc6 Kxc6 Ne5+ Kb5 Kc3 Ka4 c6
REIMYPALENCIA,1519,ADVOGADO,1678,1-0,????.??.??,d4 d5 c4 Nf6 Bg5 c6 e3 Bf5 Nd2 e6 h3 Be7 Ngf3 O-O g4 Bg6 Ne5 h6 Nxg6 fxg6 Bh4 g5 Bg3 Bd6 Qc2 dxc4 Nxc4 Bxg3 fxg3 Nd5 O-O-O Nd7 h4 N7b6 Re1 Nxc4 Qxc4 Rf2 Qd3 Qb6 b3 Nb4 Qg6 Rxa2 hxg5 c5 gxh6 Rc2+ Kd1 Qc7 Bc4 Rd8 Bxe6+
IL10000,1796,BearJr,1971,1-0,????.??.??,e4 e5 Nf3 Nf6 d4 d6 dxe5 Nxe4 exd6 Bxd6 Qe2 O-O Nbd2 Nxd2 Qxd2 Re8+ Be2 Nc6 b3 Qf6 Rb1 Bf5 Bb2 Qe6 a4 Bb4 c3 Bxb1 cxb4 Nxb4 Ng5 Qe7 O-O Qxe2 Qxb4 Qxb2 Qc4 Qf6 h3
rfgbnfy,1569,mirumen,1561,0-1,????.??.??,e4 e5 a3 g5 Nc3 Nc6 Bc4 g4 d3 a6 f3 h5 f4 Bh6 h3 Bxf4 hxg4 d5 gxh5 Bg3+ Kf1 dxc4 Qf3 cxd3 Qxg3 d2 Bxd2 Qxd2 Rd1 Qf4+ Qxf4 exf4 Nf3 Bg4 Nd5 O-O-O Re1 Rxh5 Rxh5 Bxh5 Ng5 f6 Nh7 Ne5 Ndxf6 Nxf6 Nxf6 Bg4 Nd5 f3 gxf3 Nxf3 Re3 c6 Nf6 Nd2+ Kg2 Bf3+ Rxf3 Nxf3 Kxf3 Rd2 e5 Rxc2 e6 Kd8 Ne4 Ke7 Ng5 Rxb2 Ke4 Rb3 Kd4 Rxa3 Kc4 Ra4+ Kb3 Rg4 Nf3 Kxe6 Kc3 Rg3 Kc4 Rxf3 Kc5 Kd7 Kb6 Kc8 Ka7 c5 Kb6 c4 Ka5 c3
julia-14,1529,alexei7,1521,1-0,????.??.??,d4 c5 c3 cxd4 cxd4 d5 e3 e6 f4 Bb4+ Bd2 Qa5 Nf3 Nf6 Bd3 Ne4 Bxe4 dxe4 Ne5 O-O O-O Nc6 Bxb4 Qxb4 Nxc6 bxc6 Qc2 Ba6 Rf2 Rac8 Nd2 Qb5 b3 f5 Nc4 Rc7 Nd6 Qb6 Rc1 Rd8 Nc4 Bxc4 Qxc4 Qb5 Qxe6+ Kf8 Rc5 Qb8 Rxf5+ Rf7 Qxf7#
Process,1882,kryltcov,1706,1-0,????.??.??,e4 e6 d4 f6 f4 d6 Nf3 Be7 Nc3 Nd7 Bd3 b6 O-O Bb7 e5 dxe5 fxe5 c5 Nh4 cxd4 Qh5+ Kf8 Ng6+ hxg6 Qxh8 dxc3 Bxg6 Bc5+ Kh1 Nxe5 Bh7 Kf7 Bxg8+ Qxg8 Qh5+ g6 Qxe5 Qg7 Bg5 Be7 Bxf6 Bxf6 Qc7+ Kg8 Qd6 Be5 Qxe6+ Kh8 Rf7 Qg8 Qxe5+ Qg7 Qxg7#
Kijevatov,1710,batteria,1539,1-0,????.??.??,e4 e5 Bc4 c6 Nf3 d5 exd5 cxd5 Bb5+ Bd7 Qe2 Bxb5 Qxb5+ Qd7 Qe2 f6 O-O Nc6 c3 Bc5 d4 Bd6 dxe5 Nxe5 Re1 Qc7 Bf4 Ne7 Nxe5 O-O Nd3 Ng6 Bxd6 Qxd6 Na3 Rae8 Qd2 Re4 f3 Rh4 g3 Rh5 Kg2 Qd7 h4 Qc6 Nf4 Nxf4+ Qxf4 g5 Qg4 Rh6 Qe6+ Kh8 Qxc6 bxc6 hxg5 fxg5 Re7 a6 Rae1 Rg6 R1e6 Rfg8 Nc2 h5 Nd4 g4 f4 R8g7 Rxg7 Kxg7 Rxg6+ Kxg6 Nxc6 Kf5 a4 Ke6 Nb4 a5 Nc6 Kf5 Nxa5 Ke4 Nc6 Kd3 a5 Kc4 a6 Kc5 a7 Kxc6
Djota4,1208,Isnana4,1274,1-0,????.??.??,d4 Nf6 Nf3 b6 Bg5 Bb7 Bxf6 gxf6 d5 d6 c4 e5 e4 c6 Bd3 cxd5 cxd5 Nd7 b4 Rc8 O-O a6 a4 b5 axb5 a5 bxa5 Ra8 Qd2 Nc5 Ra3 Nxd3 Qxd3 Rxa5 Rxa5 Qxa5 Nfd2 Bc8 Nc4 Qa8 b6 Ba6 Rc1 Be7 Nba3 O-O Rc3 Rc8 g3 Bxc4 Nxc4 Qa1+ Kg2 Rb8 Qc2 Bd8 Qe2 Bxb6 Qg4+ Kf8 Nxb6 Rxb6 Rc8+ Ke7 Rc7+ Kd8 Qc8#
zdravko_angelovski,1832,Peyman100,1806,1/2-1/2,????.??.??,e4 e5 f4 exf4 Nf3 d5 e5 Nc6 d4 Bg4 c3 g5 Bd3 f6 exf6 Qxf6 O-O O-O-O Qc2 h5 Nbd2 Bd6 b4 Nge7 b5 Nb8 a4 Nf5 Nb3 h4 Bd2 Rde8 a5 c6 a6 b6 bxc6 Nxc6 Bb5 Nfe7 c4 Bf5 Qc3 Bb4 Qb2 dxc4 Bxb4 Nxb4 Bxe8 Rxe8 Nbd2 Nd3 Qb5 Qc6 Qxc6+ Nxc6 Nxc4 Rd8 Nce5 Nxd4 Nxd4 Rxd4 Nxd3 Rxd3 Rfc1+ Kd7 Rd1 Kc6 Rxd3 Bxd3 Kf2 g4 g3 hxg3+ hxg3 f3 Ke3 Bf5 Kf4 Bc8 Ra2 b5 Rc2+ Kd7 Kxg4 Kd8+ Kxf3 Bxa6 Ra2 Bb7+ Kf4 a6 g4 b4 g5 b3 Rb2 Bd5 Ke5 Bg8 Kd4 a5 Kc5 a4 Kb4 Ke7 Kxa4 Kd6 Ka3 Ke5 Rg2 Kf5 Kb2 Kg6 Kc3 Bd5 Rg3 Be6 Rg1 Bd5 Kd4 Be6 Ke5 Bf5 Rg2 Bc2 Kf4 b2 Rg1 b1=Q Rxb1 Bxb1 Ke5 Bd3 Kd4 Kxg5
Paracelso,1776,guillermo1066,1734,0-1,????.??.??,Nf3 d5 d3 Bf5 Nbd2 Nc6 b3 e5 Bb2 Qe7 e4 Bg4 exd5 Nd4 Bxd4 Bxf3 Qe2 Bxe2 Bxe2 exd4 Ne4 O-O-O Bg4+ Kb8 O-O g6 Rfe1 Re8 Kf1 Qb4 Bf3 f5 Ng5 Rxe1+ Rxe1 Nf6 Nf7 Rg8 g4 Bd6 Nh6 Re8 Rd1 fxg4 Nxg4 Nxg4 Bxg4 Bxh2 Bf3 g5 Be4 h5 Kg2 Bf4 Rh1 h4 Ra1 Qd2 a4 Qxc2 b4 Rxe4 dxe4 Qxe4+ f3 Qe2+ Kh3 Qxf3#
Jusuf-Np,1872,AkibachessMan,1907,1-0,????.??.??,g3 g6 Bg2 Bg7 Nf3 e5 d3 d5 O-O h6 e4 d4 c4 c5 h3 Nc6 Nh2 Be6 Nd2 Nge7 Qe2 Qd7 a3 Bxh3 f4 Bxg2 Kxg2 f5 Ndf3 O-O-O Bd2 a6 b4 b6 b5 axb5 cxb5 Nb8 a4 exf4 Bxf4 fxe4 Qxe4 Rhe8 Qa8 Qb7 Qxb7+ Kxb7 Rae1 Nd5 Bd2 Nd7 Ng4 h5 Nf2 Ne3+ Bxe3 dxe3 Ne4 Bd4 Nd6+ Kc7 Nxe8+ Rxe8 Nxd4 cxd4 Rf7 Kd8 Rg7 Re6 Kf3 Nc5 Ke2 Nxa4 Ra1 Nc3+ Ke1
terminator101,1565,luciano2000,1779,0-1,????.??.??,e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 Nc6 O-O e6 h3 Bh5 c4 Nb6 d5 Nxe5 Nxe5 Bxe2 Qxe2 dxe5 dxe6 fxe6 Qh5+ g6 Qxe5 Rg8 Qxe6+ Qe7 Qxg8 O-O-O Be3 Bh6 Qxh7 Bxe3 fxe3 Qxe3+ Kh1 Qe2 Nc3 Qxb2 Qxg6 Qxc3 Qf5+ Kb8 Rad1 Rc8 Rd3 Qxc4 Rfd1 a6 Rd8 Qxa2 Rxc8+ Nxc8 Rd8 Qa1+ Kh2 Qg7 Qxc8+ Ka7
erindreki,2449,Horobetz,2477,0-1,????.??.??,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 Bxc3+ Qxc3 Qe7 Bg5 d6 e4 e5 d5 Nbd7 Bd3 a5 Ne2 Nc5 O-O h6 Bxf6 Qxf6 f3 g5 b3 Qe7 a3 O-O b4 axb4 axb4 Rxa1 Rxa1 Na6 Ng3 Kg7 Qb2 Kg6 c5 dxc5 Bxa6 bxa6 bxc5 Qxc5+ Qf2 Qxf2+ Kxf2 h5 Nf5 Bxf5 Rxa6+ f6 exf5+ Kxf5 Rc6 Rf7 Ke3 Kg6 Ke4 Re7 g4 hxg4 fxg4 Rh7 h3 Rxh3 Rxc7 Rg3 d6 Rxg4+ Kd5 Rd4+ Ke6 g4 d7 e4 Rc6 Rxd7 Kxd7 e3 Ke7 Kg5 Rxf6 g3 Rf8 Kg4 Rg8+ Kf3 Rf8+ Kg2 Rg8 e2 Kf7 e1=Q
Karolinka,1419,eoeoeo,1480,1-0,????.??.??,e4 e5 Nf3 Nc6 Bc4 h6 O-O Nf6 d3 d6 h3 Nd4 Be3 Nxf3+ Qxf3 Qe7 Nc3 c6 a4 a5 d4 Nh7 dxe5 Ng5 Bxg5 hxg5 exd6 Qd7 e5 g6 Qf6 Rg8 Rae1 Bg7 Qxg5 Qf5 Qe7#
nuwonga,2278,MisterBiggStuff,2101,1-0,????.??.??,Nf3 c5 c4 Nc6 d4 e6 d5 Nd4 Nxd4 cxd4 Qxd4 Nf6 Nc3 b6 e4 Bc5 Qd1 O-O Be2 Bb4 f3 exd5 cxd5 d6 O-O Re8 Nb5 Bc5+ Kh1 Ba6 Nd4 Bxe2 Nxe2 Qe7 Ng3 g6 Bg5 Qe5 Qd2 Nd7 Rad1 a5 a3 b5 Bf4 Qe7 Bg5 f6 Bf4 b4 a4 Nb6 b3 Nd7 h4 Ne5 h5 g5 Nf5 Qd7 Bh2 Kf7 f4 Ng4 fxg5 Rxe4 g6+ hxg6 hxg6+
charada,1383,dannyflack,1336,1-0,????.??.??,d4 e6 Bf4 c5 c3 c4 e4 d5 exd5 exd5 Nf3 Bg4 Be2 Nc6 h3 Bxf3 Bxf3 Nf6 O-O Be7 Re1 O-O Bg5 Re8 Bxf6 Bxf6 Nd2 Bh4 Rxe8+ Qxe8 Bxd5 Qd7 Bxc4 Qf5 Nf3 Qf6 Qd3 Rd8 Re1 g5 Re4
woofo,1409,tiamat,1529,0-1,????.??.??,d4 d5 e4 dxe4 f3 exf3 Qxf3 Nf6 Nc3 Nc6 d5 Ne5 Qf4 Ng6 Qf3 Bg4 Qe3 Nxd5 Nxd5 Qxd5 Qd3 Qe5+ Qe3 Qa5+ Qd2 Qe5+ Qe3 Qd6 Nf3 O-O-O Bd3 Bxf3 Qxf3 Ne5 Qe2 Nxd3+ cxd3 Qb4+ Bd2 Qd4 Qe3 Qxd3 Qxd3 Rxd3 O-O-O e6 Kc2 Rd5 Be3 Be7 Rxd5 exd5 Bd4 f6 Re1 Bb4 Bc3 Bxc3 Kxc3 Kd7 Rd1 c6 b4 Re8 a4 Re2 Kd4 Rxg2 Kc5 Rxh2 b5 Rh5 bxc6+ bxc6 Rb1 Kc7 a5 f5 a6 Rh6 Rb7+ Kc8 Rxg7 Rf6 Rxh7 f4 Rxa7 f3 Ra8+ Kc7 Ra7+ Kb8 Rb7+ Ka8 Rb2 f2 Rxf2 Rxf2 Kxc6 d4 Kb6 d3 a7 d2 Kc7 Kxa7
Metalium,1681,manuel_ts87,1586,0-1,????.??.??,d4 c6 c4 d5 cxd5 cxd5 Nc3 Nf6 Bg5 h6 Bxf6 gxf6 e3 e5 dxe5 fxe5 Qxd5 Qxd5 Nxd5 Na6 Bxa6 bxa6 Nc7+ Kd7 Nxa8 Bb7 Rd1+ Ke6 Nc7+ Ke7 Nd5+ Ke6 Nc3 Bxg2 Nge2 Bxh1 Ng3 Bf3 Rd8 Bg7 Kd2 Rxd8+ Kc2
nookieee,1745,anand0707,1872,0-1,????.??.??,b4 Nf6 Bb2 e6 a3 d5 c3 c5 e3 Bd7 d3 Nc6 Nf3 Bd6 Nbd2 Rc8 Be2 cxb4 axb4 Ne5 O-O a6 Nd4 O-O f4 Nc6 N4f3 Ng4 Re1 Nxe3 Qb1 Bxf4 Nf1 Nxf1 Rxf1 Ne5 Nxe5 Bxe5 Kh1 Qh4 g3 Bxg3
E-ares,1685,mari0,1600,1-0,????.??.??,e4 e5 Nf3 Nc6 d4 Bc5 Be3 exd4 Bxd4 Nxd4 Nxd4 Bxd4 Qxd4 Qf6 Qxf6 Nxf6 Nc3 O-O O-O-O d6 f4 Bd7 h3 Nh5 f5 Rfe8 g4 Nf6 Bg2 Bc6 Rde1 h6 h4 Re5 g5 hxg5 hxg5 Ng4 Bf3 Nf2 Rh2 Nxe4 Reh1 Kf8 Bxe4 Ke7 Bxc6 bxc6 f6+ gxf6 gxf6+ Kxf6 Rh6+ Ke7 Rf1 Rf8 Rh7 Ke8 b3 Re7 Kb2 Kd8 a3 Kc8 Na2 Kb7 Nb4 Kb6 Nd3 a6 Nf4 Re4 Ng6 Rg8 Nf4 Rg4 Rxf7 d5 Rf6 Kb5 Nd3 c5 a4+ Ka5 Nxc5 Re2 Rc1 Rgg2 Nd3
